"태양광 발전사업 - 국내 영업직, 영업사원 모집",월급 | 180만원 ~ 200만원,비정규 | 주5일,,"담당업무 :  모집부문 태양광 RPS사업부 -B2B영업팀 ㆍ국내기업, 법인영업(B2B) 대상으로 영업활동 담당업무 ㆍ햇빛새싹발전소, 켑코솔라, 지붕임...",경력무관 | 학력무관 | 경기도 화성시 팔탄면
3.5톤~5톤 화물(장축) 윙바디  운전기사  모집,월급 | 200만원 이상,정규 | 주5일,08:30 ~ 17:30,담당업무 :  전자부품 제조회사로 성실히 일하실 5톤화물 운전기사를 모집합니다. 근무시간 : 8:30 ~ 17:30 업무 : 오전 - 출하업무 일일 1회~2회 ...,경력2년 | 고졸 | 경기도 시흥시 공단1대로131번길
납품배송기사님 모십니다!,월급 | 280만원 이상,정규 | 주6일,08:00 ~ 18:30,담당업무 :  3.5톤 / 5톤 탑차 운전 납품 및 배송 현장관리,경력무관 | 학력무관 | 경기도 이천시 신둔면
주유원 모집(경력자),"시급 | 8,590원 이상",정규 | 주6일,05:30 ~ 14:00,담당업무 :  - 담당업무 : 주유업무 - 근무시간 : 05:30~14:00,경력1년 | 학력무관 | 충청북도 충주시 중원대로
[시니어인턴십]금천구시설관리공단 관내 노상주차장 관리,월급 | 179만원 ~ 179만원,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  [직무내용]노상주차장관리 및 요금징수 업무보조 [응시연령및 기준] ○만 60세 이상 미취업자(1960년 생일 지난자) (※기간제근로자...,신입 | 학력무관 | 서울특별시 금천구 시흥대로37길
셀프세차장[관리및청소]직원모집(초보가능),"시급 | 8,590원 이상",시간 | (장기),,"담당업무 :  셀프세차장 관리및 청소 , 손님응대 진영신도시, 우리마트 1호점 근처 09-18시 근무중 ( 휴뮤 : 점심시간, 오전오후 각 30분씩 추가) ...",경력무관 | 학력무관 | 경상남도 김해시 진영읍
단순노무직(화원관리) 직원 구인합니다.,월급 | 179만원 ~ 179만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  안녕하십니까 예비)사회적기업 풀잎사랑영농조합입니다. 저희와 함께 일할 예비)사회적기업 일자리창출 지원사업 참여자를 모집하고자...,신입 | 학력무관 | 울산광역시 북구 산업로
가람노인복지센터에서 운전원을 모집합니다,"시급 | 8,590원 ~ 8,590원",시간 | (단기),,담당업무 :  주간보호센터 송영차 운전 어르신 승하차 탑승 도움,경력무관 | 학력무관 | 경기도 의정부시 효자로
온라인 시각 및 웹디자이너 / 전자상거래 유경험자 모집,"연봉 | 2,180만원 ~ 4,000만원",정규 | 주5일,09:00 ~ 18:00,담당업무 :  2021년 온라인쇼핑몰 운영자를 모집합니다. 쇼핑몰 주요 업무 1) 상품의 온라인 등재 2) 쇼핑몰의 상품 관리 3) 쇼핑몰에 등재된 개인...,경력3년 | 대졸(2~3년) | ~ 대졸(4년) 경기도
청우식품 아산영업소 영업사원,"연봉 | 3,400만원 ~ 5,000만원",정규 | 주6일,,담당업무 :  제과 영업 및 거래처 관리,경력1년 | 고졸 | ~ 대졸(4년) 충청남도
인터넷 쇼핑몰,월급 | 200만원 ~ 200만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  쇼핑몰 상세페이지 디자이너 편집 및 쇼핑몰 우선 일러스트,포토샵 사용가능자 쇼핑몰운영및 담당업무에 대한 경력자 우대 3개월 수습...",신입 | 학력무관 | 경기도 고양시 일산동구
[동백하우스디카바나 아파트] 생활 관리원 구인,월급 | 209만원 ~ 209만원,비정규 | 격일,,"담당업무 :  * 동백 하우스디카바나 아파트 생활 관리 업무 * 아파트 단지 출입통제, 주차관리, 관리소 업무 지원 외 업무 * 근무시간:격일근무 07...",경력무관 | 학력무관 | 경기도 용인시 기흥구
KT링고서비스 TM영업사원 모집,월급 | 150만원 ~ 187만원,시간 | (단기),,"담당업무 :  *가입 고객정보 전산입력(아웃바운드) *주5일 근무(근무시간 10:00~18:00), 휴게시간 12:00~13:30) *법정공휴일 휴무 *3개월 수습...",경력무관 | 학력무관 | 경기도 고양시 덕양구
식품 영업 관리 및 배송 납품 사원 모집,월급 | 179만원 이상,정규 | 주5일,09:00 ~ 18:00,담당업무 :  본사는 가공식품(보리면)을 판매 및 유통하는 사회적기업으로 아래와 같은 직무를 수행하실 분을 모집합니다. 주요 내용 - 기존 오프...,경력무관 | 학력무관 | 충청북도 청주시 흥덕구
[신중년일자리],"연봉 | 2,400만원 ~ 2,800만원",정규 | 주5일,09:00 ~ 18:00,담당업무 :  안녕하세요 저희 명품클리닉투엘은 명품수선전문업체 중 로컬매출분야 1위인 대형의 수선전문점입니다. 직원과 함께 편안한 일자리를 ...,경력무관 | 대졸(2~3년) | ~ 석사 서울특별시
[아파트 도장공사]시장 수요조사(영업) 모집,"시급 | 8,590원 ~ 8,590원",시간 | (장기),10:00 ~ 14:00,"담당업무 :  [아파트 도장공사] 시장 수요조사원(영업) 모집 - 업무: 아파트 재도장공사 일정에 대한 수요조사, 시장조사, 영업 - 시간: 10:00 ~ 1...",경력무관 | 학력무관 | 부산광역시 수영구 망미번영로38번길
타일유통관련직원모집(배송및창고관리업무),"연봉 | 2,800만원 ~ 3,200만원",정규 | 주6일,,"담당업무 :  안녕하세요 타일,위생도기,각종 욕실자재를 납품 및 판매하는 회사입니다. 주6일 근무이며 격주 토요일은 휴무입니다(예 한달 토요일 ...",경력무관 | 학력무관 | 대구광역시 수성구 들안로
배송기사,월급 | 160만원 ~ 160만원,시간 | (장기),12:00 ~ 19:00,"담당업무 :  어린이집, 유치원 식판배송 회사차량(스타렉스) 사용 *신체 건강하신 분 *주 5일 근무/공휴일 휴무",경력무관 | 학력무관 | 경기도 안성시 원곡면
마을버스 기사모집,월급 | 230만원 ~ 250만원,정규 | 격일,,"담당업무 :  격일제 및 복격일제, 주 5일제 노선에서 출퇴근 형태로 근무(숙소 미제공)하실 승무직 직원을 모집합니다. 수동변속기 운전이 반드시 ...",경력무관 | 학력무관 | 경기도 화성시 봉담읍
(채용대행) 범천동 소재 웨딩홀 주차관리원 모집(주3일근무),월급 | 80만원 ~ 80만원,비정규 | 주3일,09:00 ~ 15:00,"담당업무 :  ✔ 범천동 웨딩홀 주차관리원 모집합니다. ※ 운전가능자(필수) ✔ 근무 : 주3일(화, 목, 금) 09:00 ~ 15:00 / 휴게시간있음 급여 : ...",경력1년 | 학력무관 | 부산광역시 부산진구 자유평화로
경동택배 배송기사 모집합니다.,월급 | 200만원 ~ 300만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  경동택배 배송기사 모집합니다. - 구간별 배송 업무 - 중식비 별도 지급 - 시간 협의 가능 - 경력자 연봉 협의 가능,경력무관 | 학력무관 | 경기도 포천시 일동면
"제과, 제빵원 구인 (경남여성새일센터채용대행)","시급 | 8,590원 ~ 8,590원",비정규 | 주5일,07:00 ~ 16:00,담당업무 :  빵 제조 및 포장 판매업무 **빵 만드는 일 처음부터 가르쳐드립니다.,경력무관 | 학력무관 | 경상남도 창원시 마산회원구
제품 집하장 제품적재 작업자 구인,월급 | 190만원 이상,비정규 | 주5일,,담당업무 :  ▣ 직무내용 1. 제품 상하차 2. 창고정리 3. 컨베이어 운반 제품 적재 및 하역 단순 노무 작업 등 (3톤 미만 지게차 운전 가능자 우대...,경력무관 | 학력무관 | 경기도 안산시 단원구
"홈쇼핑 기획 및 상품운영 (홈쇼핑라이브, 티커머스, 라이브방송등) - 상품 MD","연봉 | 2,400만원 ~ 4,000만원",정규 | 주5일,09:30 ~ 18:30,"담당업무 :  홈쇼핑 기획 및 상품운영 (홈쇼핑라이브, 티커머스, 라이브방송등) - 상품 MD",경력1년 | 학력무관 | 서울특별시 강남구 논현로72길
대구 달서구/달성군 1톤 탑차 식자재를 배송할 직원(지입)을 구합니다.,월급 | 150만원 ~ 170만원,시간 | (장기),02:00 ~ 09:00,담당업무 :  CJ아이누리달서점에서 책임감있는 배송직원을 구합니다. CJ프레시웨이 대구센터에서 어린이집/유치원/학교 등 주문된 제품 소분 후 배...,경력무관 | 학력무관 | 대구광역시 서구 국채보상로3길
어린이 통학버스 운전기사모집,월급 | 165만원 이상,시간 | (장기),,담당업무 :  어린이 통학버스 운전기사님 모집합니다. 대형면허필수 4대보험 가입합니다.,경력 | 학력무관 | 경기도 평택시 진위면
"단순 섭외 업무 TM 모집 - 정규직, 4대보험","연봉 | 1,800만원 이상",정규 | 주5일,10:00 ~ 17:00,"담당업무 :  ㈜씨엔오컨설팅 전화상담사(스케줄 섭외업무) 아웃바운드 TM 모집 - 정규직, 4대보험 ㈜씨엔오컨설팅은 2009년에 설립된 회사로 사원...",경력무관 | 학력무관 | 서울특별시 서초구 바우뫼로35길
"[주]바른푸드 배송,영업직 모집",월급 | 260만원 이상,정규 | 주6일,09:00 ~ 18:00,"담당업무 :  간단한 육류포장, 진공 작업 식당납품, 간단한영업 토요일 특근 포함 (인센티브 별도)",경력무관 | 학력무관 | 경기도 시흥시 검바위2로
[일죽면] 가공식품 배송기사 모집,월급 | 150만원 ~ 150만원,정규 | 주3일,,"담당업무 :  - 오이피클, 절임무 등 완제품 배송 - 업무 : 중량별로 포장 된 제품을 거래처에 납품하기 위한 배송 작업",경력무관 | 학력무관 | 경기도 안성시 일죽면
물류팀-지게차운전원모집,월급 | 210만원 ~ 240만원,정규 | 주5일,08:30 ~ 18:00,"담당업무 :  **광혜원 *유진물류 지게차운전원모집** - 직무내용 : 제춤 상, 하차 업무(3톤미만 지게차 운전자) - 근무시간 : (주간근무) 08:30~18...",경력1년 | 학력무관 | 충청북도 진천군 광혜원면
광역버스 운전원 모집,월급 | 300만원 이상,비정규 | 격일,,"담당업무 :  인천<->강남간 광역버스 운전 (9100번, 9200번, 9201번, 6405번) 격일근무/노선, 순번별로 배차별로 상이함 ※ 촉탁직 우대...",경력1년 | 학력무관 | 인천광역시 중구 서해대로94번길
"3.5톤,5톤이상 납품기사 모집(지게차운전가능자)","연봉 | 2,500만원 ~ 2,500만원",정규 | 주6일,,"담당업무 :  3.5톤 ,5톤 화물차 납품기사 정규직 사원모집( 지게차 운전가능자-제품 상하차시 필요) 현대자동차 납품 유경험자 우대",경력무관 | 학력무관 | 울산광역시 북구 효죽3길
어린이집 차량기사 모집,월급 | 70만원 ~ 70만원,시간 | (단기),,"담당업무 :  -어린이집 차량운전(15인승 스타렉스 오토 오전, 오후 운행) -통학차량운전자교육 이수 필수",경력2년 | 고졸 | ~ 대졸(4년) 전라북도
부동산 컨설턴트 / 열정 가득한 새가족을 찾습니다.,월급 | 150만원 이상,정규 | 주5일,10:00 ~ 16:30,담당업무 :  법원 경매 공매 물건(부동산)투자 관련 상담업무 단순 전화 상담 업무 모든 업무가 초보들도 금방 배울 수 있습니다. 평소 부동산 재...,경력무관 | 고졸 | ~ 석사 부산광역시
승합차 운전기사 구인,월급 | 120만원 ~ 120만원,비정규 | 주6일,,"담당업무 :  - 어르신, 입소, 퇴소시 안전운행. 일지작성 등",경력무관 | 학력무관 | 경상남도 함안군 칠원읍
통근운행 및 현장겸임 하실분 모집,"시급 | 8,590원 이상",정규 | 주5일,08:00 ~ 17:00,담당업무 :  통근운행(스타렉스 12인승)하시면서 현장 겸임(물류) 가능하신분 -장유 거주자 - 제조업 근무 경력자 및 이해 가능자 - 지게차 가능자...,경력무관 | 학력무관 | 경상남도 김해시 주촌면
출하관리사무원,"연봉 | 2,400만원 이상",정규 | 주5일,,"담당업무 :  빵가루, 해초 생산업체로 출고관리직, 창고관리 지게차 가능한 분",신입 | 학력무관 | 경상남도 김해시 안곡로
"[보람그룹] 상조, 웨딩, 크루즈 영업조직 / 소장 및 지점장 후보자 공개 채용",월급 | 300만원 ~ 500만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  [***실업급여 및 광고때문에 전화 문의 또는 방문은 사절함****] ★담당업무★ - 조직 관리 및 조직 교육 - 리크루팅 - 상조, 웨딩, ...",경력1년 | 학력무관 | 서울특별시 성동구 왕십리로
[사회적협동조합 공유]에서 같이 일을 하고픈 직원을 모십니다,월급 | 180만원 ~ 180만원,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  주요업무 : 공공기관 구매 담당자를 대상으로 구매 물품 홍보 및 영업 점보롤화장지 생산 주문상품 배달,경력무관 | 학력무관 | 세종특별자치시 금남면 도암영곡길
2.5톤 냉동탑차 기사 구인.(정규직-신입/경력),"연봉 | 3,100만원 이상",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  * 2.5톤 냉동탑차 운전. * 배송업무---직영점(롯데백화점/홈플러스/거래처 등) * 급여는 신입은 회사 규정에 따르고, 경력의 경우 면...",경력무관 | 학력무관 | 경기도 광주시 오포읍
주유원모집,월급 | 200만원 ~ 200만원,정규 | 주6일,09:00 ~ 18:00,"담당업무 :  - 주유, 세차, 기름배달(1종보통 스틱운전자) - 50대까지 지원가능하며 근면성실한분 원하심.",경력무관 | 학력무관 | 경기도 남양주시 진건읍
트랙터 운전원 모집,월급 | 300만원 이상,비정규 | 격일,,담당업무 :  세종 조치원(깨끗한나라)에서 경기도 용인으로 운송 전화 통화 면접 010-2459-2317,경력무관 | 학력무관 | 대전광역시 대덕구 신탄진로
조경 현장소장 및 관리자 모집합니다,월급 | 300만원 ~ 350만원,정규 | 주6일,,"담당업무 :  조경 현장시공(인부와 같이 일하실수 있는분) 및 관리 가능하신 반장 및 소장 모집합니다. 조경현장 유경험자, 1종이상 운전면허소지 ...",경력3년 | 학력무관 | 경기도 시흥시 시흥대로
주식회사 컴플리트 온라인쇼핑몰 CS관리자 / 사무원 모집,월급 | 180만원 이상,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  상담 [상담>심리상담>심리상담] 온라인 쇼핑몰관리 - 고객문의 상담 및 처리 (유선, 게시판 등등) - 온라인쇼핑몰 관리 ㅡㅡㅡ...",경력무관 | 학력무관 | 경기도 양주시 고읍남로191번길
카카오택시운전기사 모집,월급 | 200만원 ~ 250만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  카카오콜택시운전기사를 모집 당사는 연료차량과 신형 전기택시를 각 운행하고 있습니다. 택시회시 선택에 가장 중요한 입금 방식을 ...,경력무관 | 학력무관 | 대구광역시 동구 공항로
카고 25톤 운전기사 구인[울주군청 채용대행],월급 | 400만원 ~ 400만원,비정규 | 주6일,,담당업무 :  * 25톤 카고 운전자 -대형면허 필수 -지게차 자격증 필수(5T 지게차 가능자 우대),경력1년 | 학력무관 | 울산광역시 울주군 서생면
경리/사무 및 판매장 진열,월급 | 200만원 이상,정규 | 주5일,09:00 ~ 18:00,담당업무 :  아산에 위치한 로컬푸드 매장입니다.. 경리/사무/행정 업무를 기본으로 로컬푸드 판매장 상품 진열 및 캐셔 업무를 보조해 주시면 됩...,경력3년 | 고졸 | ~ 대졸(2~3년) 충청남도
물류직 입식 지게차 운전원 모집,월급 | 210만원 이상,정규 | 주5일,,담당업무 :  가공장 현장 물류 입식 지게차 운전원 모집 생산된 물품을 지게차를 이용하여 운반 3톤미만 지게차 자격증 소유자,경력무관 | 학력무관 | 충청북도 충주시 대소원면
압롤카 기사님 구합니다.,"연봉 | 2,200만원 이상",정규 | 주5일,08:00 ~ 17:00,"담당업무 :  압롤카(17톤) 운전원구합니다. - 경력자(10년이상) - 장년층,퇴직자 우대합니다.",경력10년 | 학력무관 | 경상북도 포항시 남구
배송납품원,월급 | 198만원 이상,정규 | 주6일,,담당업무 :  자동차 부품대리점으로서 자동차 정비공업사 및 카센타에 부품 배송 업무임.,경력무관 | 학력무관 | 인천광역시 서구 봉수대로
